,User_Name,Twitter_Name,Location,Bio,Tweet,city_police,media,Language,Tweet_Link,is_Retweeted,Original_Tweet_by,Hashtags,User_Mentions,tweet_date,tweet_time
0,Mens Rights Crusader,no1_mra,NoWhere,"Family/Men's Rights Advocate, Father, Criminal, Notorious, Technology Abuser, Strategist, Thinker, Nature Lover - MyNation Foundation",RT @Mynation_BH: @RheaVadhera @beta_bachao @SaurabhBahugu17 @MsBhardwaj18 @SumitandR @NitinSaini1411 @Laws4Men @Cold_Thinker @AsertinSusey…,Delhi,[],und,https://twitter.com/statuses/1139095866470535168,yes,Mynation_BH,"['legalTerrorism', 'CrimeByWomen', 'MensCommission', 'Arrestpoojasharma', 'FakeCases_498A_DV_125_377_376', 'AblaNari', 'GenderBlindLaws', 'womenempowerment', 'GenderNeutralLaws', 'HeBox', 'HelpMeMyNation']","['Manekagandhibjp', 'MyNation_Delhi', 'UNICEF', 'NitinSaini1411', 'delhipolice1', 'DC_Ranchi', 'MinistryWCD', 'pkrdefence', 'CrusaderMra', 'PMOIndia', 'MyNationCrusad1', 'Laws4Men', 'SaurabhBahugu17', 'upcoprahul', 'AshokKhemka_IAS', 'RheaVadhera', 'SriRudyBABA', 'AsertinSusey', 'beta_bachao', 'MynationShar', 'iamarunjain', 'Cold_Thinker', 'CMOfficeUP', 'MsBhardwaj18', 'Keyadas63', 'SwatiJaiHind', 'SumitandR', 'actoranirudha', 'IndianExpress', 'Uppolice', 'rsprasad', 'MyNation_net', 'mynation_F4JSTC', 'navsekera', 'unbroken_007', 'SushmaSwaraj', 'UpPolicemitra', 'ndtv', 'kanpurnagarpol', 'up100', 'MRALeo1', 'HemantP57063386', 'akashtomarips', 'satyan_weshi', 'Amitabhthakur', 'RKoshaaley', 'unwomenindia', 'CMOMaharashtra', 'DelhiPolice', 'Mynation_BH', 'ranjanakumari']",Jun-13-2019,09:03:12
1,Vipin Kumar,VipinKu62122807,,,@SKumar75480258 @ca94b7a713a74ff @RailwaySeva @RailMinIndia @DelhiPolice अगर आप उसकी जगह होते तो आप क्या करते उस समय ये बोलो आप श्रीमान,Delhi,[],hi,https://twitter.com/statuses/1139095865883209728,no,NA,[],"['ca94b7a713a74ff', 'SKumar75480258', 'RailMinIndia', 'DelhiPolice', 'RailwaySeva']",Jun-13-2019,09:03:12
2,ETV Bharat,Eenadu_English,Hyderabad,Official twitter account of the Eenadu India. News breaking service :http://t.co/1rDPMmTN1K..,"Two arrested after encounter in Delhi
#Encounter #Delhi #NetajiSubhashplace @DelhiPolice 

https://t.co/dRyBfQ1Sao",Delhi,[],en,https://twitter.com/statuses/1139095852331311105,no,NA,"['Encounter', 'NetajiSubhashplace', 'Delhi']",['DelhiPolice'],Jun-13-2019,09:03:09
3,Nitesh Thakral,Nitesh_Mynation,,,RT @Mynation_BH: @RheaVadhera @beta_bachao @SaurabhBahugu17 @MsBhardwaj18 @SumitandR @NitinSaini1411 @Laws4Men @Cold_Thinker @AsertinSusey…,Delhi,[],und,https://twitter.com/statuses/1139095688824758272,yes,Mynation_BH,"['legalTerrorism', 'CrimeByWomen', 'MensCommission', 'Arrestpoojasharma', 'FakeCases_498A_DV_125_377_376', 'AblaNari', 'GenderBlindLaws', 'womenempowerment', 'GenderNeutralLaws', 'HeBox', 'HelpMeMyNation']","['Manekagandhibjp', 'MyNation_Delhi', 'UNICEF', 'NitinSaini1411', 'delhipolice1', 'DC_Ranchi', 'MinistryWCD', 'pkrdefence', 'CrusaderMra', 'PMOIndia', 'MyNationCrusad1', 'Laws4Men', 'SaurabhBahugu17', 'upcoprahul', 'AshokKhemka_IAS', 'RheaVadhera', 'SriRudyBABA', 'AsertinSusey', 'beta_bachao', 'MynationShar', 'iamarunjain', 'Cold_Thinker', 'CMOfficeUP', 'MsBhardwaj18', 'Keyadas63', 'SwatiJaiHind', 'SumitandR', 'actoranirudha', 'IndianExpress', 'Uppolice', 'rsprasad', 'MyNation_net', 'mynation_F4JSTC', 'navsekera', 'unbroken_007', 'SushmaSwaraj', 'UpPolicemitra', 'ndtv', 'kanpurnagarpol', 'up100', 'MRALeo1', 'HemantP57063386', 'akashtomarips', 'satyan_weshi', 'Amitabhthakur', 'RKoshaaley', 'unwomenindia', 'CMOMaharashtra', 'DelhiPolice', 'Mynation_BH', 'ranjanakumari']",Jun-13-2019,09:02:30
4,Delhi Traffic Police,dtptraffic,"India, Delhi","24x7 Control Room : +91-11-25844444,1095",@OfficialGaurab @TransportDelhi @kgahlot @DelhiPolice @TransportDelhi  kindly take necessary action.,Delhi,[],en,https://twitter.com/statuses/1139095636144353281,no,NA,[],"['OfficialGaurab', 'TransportDelhi', 'DelhiPolice', 'kgahlot']",Jun-13-2019,09:02:17
5,apoorv sabhlok,apoorv011,"Jabalpur, India","engineer,foodie, businessman and struggling to achieve sucksex",RT @capt_ivane: दिल्ली पुलिस ने इमरान नाम के आरोपी को गिरफ्तार किया जिसने होली के दौरान गाय की हत्या कर उसके टुकड़े कर दिल्ली के हर्ष विहार…,Delhi,[],hi,https://twitter.com/statuses/1139095423417606144,yes,capt_ivane,[],"['capt_ivane', 'DelhiPolice']",Jun-13-2019,09:01:26
6,arvind pratap singh,DrHaulat,,"Alert, updated, vigilant Indian citizen who belives in humanity. Not in caste, religion, region. Desh jitna mera hai, utna hi sabka. Kisi ke baap ka bhi nahi.","RT @DCPNEastDelhi: Desperate Autolifter arrested by Team North East with the recovery of five stolen motorcycles
@CPDelhi @LtGovDelhi @Delh…",Delhi,[],en,https://twitter.com/statuses/1139095378567950336,yes,DCPNEastDelhi,['KeepingDelhiSafe'],"['DCPNEastDelhi', 'CPDelhi', 'LtGovDelhi', 'DelhiPolice']",Jun-13-2019,09:01:16
7,arvind pratap singh,DrHaulat,,"Alert, updated, vigilant Indian citizen who belives in humanity. Not in caste, religion, region. Desh jitna mera hai, utna hi sabka. Kisi ke baap ka bhi nahi.",RT @DCPNEastDelhi: Notorious robber/auto lifter arrested by Special Staff NorthEast with the recovery of a robbed motorcycle and three othe…,Delhi,[],en,https://twitter.com/statuses/1139095347634925569,yes,DCPNEastDelhi,['KeepingDelhiSafe'],"['DCPNEastDelhi', 'CPDelhi', 'LtGovDelhi', 'DelhiPolice']",Jun-13-2019,09:01:08
8,Gaurav Mishra । गौरव मिश्रा 🇮🇳,OfficialGaurab,HINDUSTANI । हिंदुस्तानी ,"I try to disseminate progressive vision to cease #ClimateChanges 
- also -
                self - proclaimed Environmentalist.
🔸
https://t.co/xnX3uHD3GG","Today, I was travelling in Cluster Bus '850', whose number was DL-1PD-0080.

The conductor was continuously Smoking in the bus &amp; driver was playing loud haryanvi music, despite it's illegal to do on a public transport.

@TransportDelhi @kgahlot @DelhiPolice @dtptraffic https://t.co/SzwMzT5EJq",Delhi,['https://twitter.com/OfficialGaurab/status/1139095106898710528/video/1'],en,https://twitter.com/statuses/1139095106898710528,no,NA,[],"['dtptraffic', 'kgahlot', 'TransportDelhi', 'DelhiPolice']",Jun-13-2019,09:00:11
9,Delhi Traffic Police,dtptraffic,"India, Delhi","24x7 Control Room : +91-11-25844444,1095",@chvinod20051 @JasvinderSolank @sachinredbull @DelhiPolice @sudhirchaudhary Area traffic Inspector Shahdara Circle has been intimated &amp; you may also contact him at 8750871445 in this regard.,Delhi,[],en,https://twitter.com/statuses/1139095074824785923,no,NA,[],"['sachinredbull', 'sudhirchaudhary', 'DelhiPolice', 'chvinod20051', 'JasvinderSolank']",Jun-13-2019,09:00:03
