Sl. No.,State/UT,Total Received,Disposed
1,Andaman and Nicobar Islands,93,93
2,Andhra Pradesh,4223,4057
3,Arunachal Pradesh,77,73
4,Assam,2023,1950
5,Bihar,6725,6508
6,Chandigarh,427,414
7,Chhattisgarh,2656,2580
8,Dadra and Nagar Haveli and Daman and Diu,79,74
9,Daman and Diu,7,7
10,Delhi,12182,11818
11,Goa,281,267
12,Gujarat,6324,6094
13,Haryana,8779,8522
14,Himachal Pradesh,1065,1038
15,Jammu and Kashmir,827,806
16,Jharkhand,3867,3767
17,Karnataka,11166,10683
18,Kerala,1753,1674
19,Ladakh,16,14
20,Lakshadweep,17,15
21,Madhya Pradesh,8825,8535
22,Maharashtra,26295,25184
23,Manipur,132,131
24,Meghalaya,51,50
25,Mizoram,7,7
26,Nagaland,23,22
27,Odisha,5864,5718
28,Puducherry,152,146
29,Punjab,4875,4733
30,Rajasthan,5497,5329
31,Sikkim,38,38
32,Tamil nadu,8922,8551
33,Telangana,4905,4723
34,Tripura,190,180
35,Uttar Pradesh,23168,22413
36,Uttarakhand,2039,1972
37,West Bengal,13065,12629
Total,Total,166635,160815
